Info 0    [16:09:46.090] Starting TS Server
Info 1    [16:09:46.092] Version: 4.1.5
Info 2    [16:09:46.092] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/simon/blog/cheng92.com/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/1n/xw58p9v90tn42m87q527fvgr0000gn/T/5ecb2134439d7122337f35bc53f977c4/tscancellation*
Info 3    [16:09:46.092] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [16:09:46.092] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:09:46.778] Search path: /Users/simon/blog/cheng92.com/static/js/vue
Info 6    [16:09:46.792] For info: /Users/simon/blog/cheng92.com/static/js/vue/vuex-persist.js :: No config files found.
Info 7    [16:09:46.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [16:09:49.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 3000.556069970131ms
Info 9    [16:09:49.805] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [16:09:49.805] 	Files (19)

Info 11   [16:09:49.805] -----------------------------------------------
Info 12   [16:09:49.831] Before ensureProjectForOpenFiles:
Info 13   [16:09:49.832] After ensureProjectForOpenFiles:
Info 14   [16:09:49.832] got projects updated in background, updating diagnostics for /Users/simon/blog/cheng92.com/static/js/vue/vuex-persist.js
Info 15   [16:09:49.929] Format host information updated
Info 16   [16:09:50.789] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [16:09:50.791] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 1.2204340696334839ms
Info 18   [16:09:51.698] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [16:09:51.706] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 7.750364065170288ms
Info 20   [16:09:51.706] Different program with same set of files:: structureIsReused:: 2
Info 21   [16:09:52.922] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [16:09:52.929] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 6.277199983596802ms
Info 23   [16:09:52.929] Different program with same set of files:: structureIsReused:: 2
Info 24   [16:09:52.932] getCompletionData: Get current token: 0.04719698429107666
Info 25   [16:09:52.933] getCompletionData: Is inside comment: 0.090628981590271
Info 26   [16:09:52.933] getCompletionData: Get previous token 1: 0.07152092456817627
Info 27   [16:09:52.934] getCompletionData: Get previous token 2: 0.040277957916259766
Info 28   [16:09:52.943] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 29   [16:09:52.944] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 30   [16:09:52.952] getSymbolsFromOtherSourceFileExports: 9.217736005783081
Info 31   [16:09:52.954] getCompletionData: Semantic work: 19.944440960884094
Info 32   [16:09:52.980] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 25.11097502708435
Info 33   [16:09:53.011] getCompletionData: Get current token: 0.008459925651550293
Info 34   [16:09:53.011] getCompletionData: Is inside comment: 0.04783594608306885
Info 35   [16:09:53.011] getCompletionData: Get previous token 1: 0.04137396812438965
Info 36   [16:09:53.011] getCompletionData: Get previous token 2: 0.01612401008605957
Info 37   [16:09:53.015] getSymbolsFromOtherSourceFileExports: Using cached list
Info 38   [16:09:53.018] getCompletionData: Semantic work: 6.2717039585113525
Info 39   [16:09:53.058] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 40.37231111526489
Info 40   [16:09:53.084] getCompletionData: Get current token: 0.015347003936767578
Info 41   [16:09:53.084] getCompletionData: Is inside comment: 0.09976601600646973
Info 42   [16:09:53.085] getCompletionData: Get previous token 1: 0.04787802696228027
Info 43   [16:09:53.085] getCompletionData: Get previous token 2: 0.018999934196472168
Info 44   [16:09:53.113] getSymbolsFromOtherSourceFileExports: Using cached list
Info 45   [16:09:53.121] getCompletionData: Semantic work: 36.58513104915619
Info 46   [16:09:53.193] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 71.3989599943161
Info 47   [16:09:53.229] Before ensureProjectForOpenFiles:
Info 48   [16:09:53.230] After ensureProjectForOpenFiles:
Info 49   [16:09:53.230] got projects updated in background, updating diagnostics for /Users/simon/blog/cheng92.com/static/js/vue/vuex-persist.js
Info 50   [16:09:53.288] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [16:09:53.333] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 44.48632502555847ms
Info 52   [16:09:53.333] Different program with same set of files:: structureIsReused:: 2
Info 53   [16:09:54.273] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
